"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"40","142","54.5,11.1","11.1","54.5","6","120","0","1951",168,131,-37
"41","152","54.1,10.8167","10.8167","54.1","10","120","0","1951",148,146,-2
"51","244","54.5167,9.56667","9.56667","54.5167","18","120","0","1951",123,140,17
"61","427","52.4,9.45","9.45","52.4","50","120","0","1951",147,123,-24
"65","480","51.5333,9.93333","9.93333","51.5333","150","120","0","1951",122,126,4
"140","1713","51.5833,9.3","9.3","51.5833","230","120","0","1951",130,117,-13
"172","2009","50.5167,8.81667","8.81667","50.5167","170","120","0","1951",119,128,9
"179","2049","50.1167,8.91667","8.91667","50.1167","110","120","0","1951",119,134,15
"192","2496","49.75,7.3","7.3","49.75","450","120","0","1951",130,140,10
"195","2568","49.75,6.65","6.65","49.75","260","120","0","1951",124,130,6
"206","2842","48.7167,9.21667","9.21667","48.7167","391","120","0","1951",109,130,21
"231","2985","48.65,9.46667","9.46667","48.65","310","120","0","1951",126,131,5
"240","3014","49.0833,9.88333","9.88333","49.0833","370","120","0","1951",117,126,9
"243","3018","48.5,10.1167","10.1167","48.5","460","120","0","1951",128,122,-6
"249","3076","49.4667,9.58333","9.58333","49.4667","340","120","0","1951",123,128,5
"251","3087","49.25,8.73333","8.73333","49.25","140","120","0","1951",118,123,5
"253","3091","49.2667,8.75","8.75","49.2667","180","120","0","1951",130,112,-18
"293","3516","47.6833,11.5667","11.5667","47.6833","680","120","0","1951",121,142,21
"306","3563","48.7833,11.2833","11.2833","48.7833","410","120","0","1951",125,121,-4
"326","3630","47.8333,10.8","10.8","47.8333","830","120","0","1951",122,139,17
"344","3694","48.8833,12.6","12.6","48.8833","330","120","0","1951",121,132,11
"355","3744","49.1333,12.7333","12.7333","49.1333","480","120","0","1951",135,89,-46
"367","3798","49.0833,12.8833","12.8833","49.0833","430","120","0","1951",122,122,0
"376","3827","48.75,13.5167","13.5167","48.75","440","120","0","1951",118,127,9
"389","3884","49.1667,11.45","11.45","49.1667","400","120","0","1951",125,126,1
"398","3945","48.9,11.6167","11.6167","48.9","400","120","0","1951",120,134,14
"410","3987","49.3833,12.7167","12.7167","49.3833","520","120","0","1951",140,144,4
"413","3993","50.3167,11.9167","11.9167","50.3167","500","120","0","1951",135,140,5
"427","4055","49.95,11.1667","11.1667","49.95","450","120","0","1951",119,138,19
"453","4157","50.1,11.8833","11.8833","50.1","620","120","0","1951",161,145,-16
"458","4172","49.3333,10.8","10.8","49.3333","400","120","0","1951",120,143,23
"482","4256","49.45,10.3167","10.3167","49.45","350","120","0","1951",130,140,10
"505","4364","50.15,10.4333","10.4333","50.15","290","120","0","1951",117,127,10
"521","4434","49.7,10.0167","10.0167","49.7","190","120","0","1951",125,133,8
"528","4456","48.45,10.2667","10.2667","48.45","450","120","0","1951",125,142,17
"539","4492","47.5667,10.7","10.7","47.5667","810","120","0","1951",123,145,22
"540","4495","48.4333,10.4167","10.4167","48.4333","460","120","0","1951",111,134,23
"592","142","54.5,11.1","11.1","54.5","6","120","0","1952",169,142,-27
"599","199","54.1167,10.1667","10.1667","54.1167","45","120","0","1952",116,135,19
"604","244","54.5167,9.56667","9.56667","54.5167","18","120","0","1952",123,127,4
"613","427","52.4,9.45","9.45","52.4","50","120","0","1952",126,124,-2
"683","1713","51.5833,9.3","9.3","51.5833","230","120","0","1952",117,128,11
"719","2009","50.5167,8.81667","8.81667","50.5167","170","120","0","1952",110,117,7
"723","2024","50.4667,9.31667","9.31667","50.4667","460","120","0","1952",122,130,8
"729","2049","50.1167,8.91667","8.91667","50.1167","110","120","0","1952",109,125,16
"742","2496","49.75,7.3","7.3","49.75","450","120","0","1952",122,124,2
"745","2568","49.75,6.65","6.65","49.75","260","120","0","1952",118,126,8
"754","2842","48.7167,9.21667","9.21667","48.7167","391","120","0","1952",120,118,-2
"780","2985","48.65,9.46667","9.46667","48.65","310","120","0","1952",124,146,22
"786","3014","49.0833,9.88333","9.88333","49.0833","370","120","0","1952",113,121,8
"789","3018","48.5,10.1167","10.1167","48.5","460","120","0","1952",111,123,12
"798","3065","49.4,9.4","9.4","49.4","230","120","0","1952",115,138,23
"803","3087","49.25,8.73333","8.73333","49.25","140","120","0","1952",116,124,8
"804","3091","49.2667,8.75","8.75","49.2667","180","120","0","1952",119,104,-15
"846","3515","47.7167,11.4167","11.4167","47.7167","620","120","0","1952",131,124,-7
"847","3516","47.6833,11.5667","11.5667","47.6833","680","120","0","1952",127,130,3
"860","3563","48.7833,11.2833","11.2833","48.7833","410","120","0","1952",116,123,7
"877","3630","47.8333,10.8","10.8","47.8333","830","120","0","1952",120,131,11
"888","3694","48.8833,12.6","12.6","48.8833","330","120","0","1952",111,136,25
"918","3827","48.75,13.5167","13.5167","48.75","440","120","0","1952",117,127,10
"933","3876","49.8667,11.9","11.9","49.8667","460","120","0","1952",127,121,-6
"935","3884","49.1667,11.45","11.45","49.1667","400","120","0","1952",127,122,-5
"952","3987","49.3833,12.7167","12.7167","49.3833","520","120","0","1952",116,131,15
"955","3993","50.3167,11.9167","11.9167","50.3167","500","120","0","1952",132,137,5
"967","4054","49.9333,11.2833","11.2833","49.9333","400","120","0","1952",132,127,-5
"999","4157","50.1,11.8833","11.8833","50.1","620","120","0","1952",141,136,-5
"1003","4172","49.3333,10.8","10.8","49.3333","400","120","0","1952",115,132,17
"1026","4256","49.45,10.3167","10.3167","49.45","350","120","0","1952",106,128,22
"1045","4364","50.15,10.4333","10.4333","50.15","290","120","0","1952",116,126,10
"1050","4386","49.7167,10.2167","10.2167","49.7167","230","120","0","1952",127,116,-11
"1058","4434","49.7,10.0167","10.0167","49.7","190","120","0","1952",109,120,11
"1062","4456","48.45,10.2667","10.2667","48.45","450","120","0","1952",133,128,-5
"1077","4495","48.4333,10.4167","10.4167","48.4333","460","120","0","1952",137,127,-10
"1085","4517","47.7167,10.2333","10.2333","47.7167","900","120","0","1952",125,145,20
"1145","199","54.1167,10.1667","10.1667","54.1167","45","120","0","1953",107,112,5
"1152","244","54.5167,9.56667","9.56667","54.5167","18","120","0","1953",113,124,11
"1167","427","52.4,9.45","9.45","52.4","50","120","0","1953",100,110,10
"1174","480","51.5333,9.93333","9.93333","51.5333","150","120","0","1953",94,123,29
"1266","1713","51.5833,9.3","9.3","51.5833","230","120","0","1953",117,111,-6
"1305","2009","50.5167,8.81667","8.81667","50.5167","170","120","0","1953",93,120,27
"1310","2024","50.4667,9.31667","9.31667","50.4667","460","120","0","1953",110,114,4
"1316","2049","50.1167,8.91667","8.91667","50.1167","110","120","0","1953",103,120,17
"1334","2496","49.75,7.3","7.3","49.75","450","120","0","1953",103,108,5
"1337","2568","49.75,6.65","6.65","49.75","260","120","0","1953",104,118,14
"1347","2842","48.7167,9.21667","9.21667","48.7167","391","120","0","1953",97,109,12
"1381","2985","48.65,9.46667","9.46667","48.65","310","120","0","1953",100,114,14
"1390","3014","49.0833,9.88333","9.88333","49.0833","370","120","0","1953",94,110,16
"1402","3065","49.4,9.4","9.4","49.4","230","120","0","1953",83,125,42
"1404","3076","49.4667,9.58333","9.58333","49.4667","340","120","0","1953",98,106,8
"1408","3087","49.25,8.73333","8.73333","49.25","140","120","0","1953",96,116,20
"1410","3091","49.2667,8.75","8.75","49.2667","180","120","0","1953",114,92,-22
"1436","3173","48.7667,8.25","8.25","48.7667","180","120","0","1953",114,102,-12
"1473","3516","47.6833,11.5667","11.5667","47.6833","680","120","0","1953",90,127,37
"1487","3563","48.7833,11.2833","11.2833","48.7833","410","120","0","1953",114,130,16
